"COMPANY NAME","SECURITY TYPE","ISSUE PRICE","Symbol","ISSUE START DATE","ISSUE END DATE","PRICE RANGE","DATE OF LISTING"
"Vigor Plast India Limited","SME","81","VIGOR","04-SEP-2025","09-SEP-2025","RS.77 to RS.81","12-SEP-2025"
"Optivalue Tek Consulting Limited","SME","84","OPTIVALUE","02-SEP-2025","04-SEP-2025","RS.80 to RS.84","10-SEP-2025"
"Amanta Healthcare Limited","BE","   126","AMANTA","01-SEP-2025","03-SEP-2025","Rs.120 to Rs.126","09-SEP-2025"
"Amanta Healthcare Limited","BE","   126","AMANTA","01-SEP-2025","03-SEP-2025","Rs.120 to Rs.126","09-SEP-2025"
"Snehaa Organics Limited","SME","122","SNEHAA","29-AUG-2025","02-SEP-2025","RS.115 to RS.122","05-SEP-2025"
"Anlon Healthcare Limited","BE","    91","AHCL","26-AUG-2025","29-AUG-2025","Rs.86 to Rs.91","03-SEP-2025"
"Vikran Engineering Limited","EQ","    97","VIKRAN","26-AUG-2025","29-AUG-2025","Rs.92 to Rs.97","03-SEP-2025"
"Anlon Healthcare Limited","BE","    91","AHCL","26-AUG-2025","29-AUG-2025","Rs.86 to Rs.91","03-SEP-2025"
"Current Infraprojects Limited","SME","80","CURRENT","26-AUG-2025","29-AUG-2025","RS.76 to RS.80","03-SEP-2025"
"Sattva Engineering Construction Limited","SME","75","SATTVAENGG","26-AUG-2025","29-AUG-2025","RS.70 to RS.75","03-SEP-2025"
"Shivashrit Foods Limited","SME","142","SHIVASHRIT","22-AUG-2025","26-AUG-2025","RS.135 to RS.142","01-SEP-2025"
"Classic Electrodes (India) Limited","SME","87","CLASSICEIL","22-AUG-2025","26-AUG-2025","RS.82 to RS.87","01-SEP-2025"
"Anondita Medicare Limited","SME","145","ANONDITA","22-AUG-2025","26-AUG-2025","RS.137 to RS.145","01-SEP-2025"
"ARC Insulation & Insulators Limited","SME","125","ARCIIL","21-AUG-2025","25-AUG-2025","RS.119 to RS.125","29-AUG-2025"
"Mangal Electrical Industries Limited","EQ","   561","MEIL","20-AUG-2025","22-AUG-2025","Rs.533 to Rs.561","28-AUG-2025"
"Vikram Solar Limited","EQ","   332","VIKRAMSOLR","19-AUG-2025","21-AUG-2025","Rs.315 to Rs.332","26-AUG-2025"
"Shreeji Shipping Global Limited","EQ","   252","SHREEJISPG","19-AUG-2025","21-AUG-2025","Rs.240 to Rs.252","26-AUG-2025"
"Gem Aromatics Limited","EQ","   325","GEMAROMA","19-AUG-2025","21-AUG-2025","Rs.309 to Rs.325","26-AUG-2025"
"Patel Retail Limited","BE","   255","PATELRMART","19-AUG-2025","21-AUG-2025","Rs.237 to Rs.255","26-AUG-2025"
"Patel Retail Limited","BE","   255","PATELRMART","19-AUG-2025","21-AUG-2025","Rs.237 to Rs.255","26-AUG-2025"
"Studio LSD Limited","SME","54","STUDIOLSD","18-AUG-2025","20-AUG-2025","RS.51 to RS.54","25-AUG-2025"
"Regaal Resources Limited","EQ","   102","REGAAL","12-AUG-2025","14-AUG-2025","Rs.96 to Rs.102","20-AUG-2025"
"Mahendra Realtors & Infrastructure Limited","SME","85","MRIL","12-AUG-2025","14-AUG-2025","RS.75 to RS.85","20-AUG-2025"
"BlueStone Jewellery and Lifestyle Limited","EQ","   517","BLUESTONE","11-AUG-2025","13-AUG-2025","Rs.492 to Rs.517","19-AUG-2025"
"Medistep Healthcare Limited","SME","43","MEDISTEP","08-AUG-2025","12-AUG-2025","RS.43","18-AUG-2025"
"ANB Metal Cast Limited","SME","156","AMCL","08-AUG-2025","12-AUG-2025","RS.148 to RS.156","18-AUG-2025"
"All Time Plastics Limited","EQ","   275","ALLTIME","07-AUG-2025","11-AUG-2025","Rs.260 to Rs.275","14-AUG-2025"
"JSW Cement Limited","EQ","   147","JSWCEMENT","07-AUG-2025","11-AUG-2025","Rs.139 to Rs.147","14-AUG-2025"
"Connplex Cinemas Limited","SME","177","CONNPLEX","07-AUG-2025","11-AUG-2025","RS.168 to RS.177","14-AUG-2025"
"Sawaliya Food Products Limited","SME","120","SAWALIYA","07-AUG-2025","11-AUG-2025","RS.114 to RS.120","14-AUG-2025"
"Highway Infrastructure Limited","BE","    70","HILINFRA","05-AUG-2025","07-AUG-2025","Rs.65 to Rs.70","12-AUG-2025"
"Knowledge Realty Trust","RR","   100","KRT","05-AUG-2025","07-AUG-2025","Rs.95 to Rs.100","18-AUG-2025"
"Knowledge Realty Trust","RR","   100","KRT","05-AUG-2025","07-AUG-2025","Rs.95 to Rs.100","18-AUG-2025"
"Highway Infrastructure Limited","BE","    70","HILINFRA","05-AUG-2025","07-AUG-2025","Rs.65 to Rs.70","12-AUG-2025"
"Aaradhya Disposal Industries Limited","SME","116","AARADHYA","04-AUG-2025","06-AUG-2025","RS.110 to RS.116","11-AUG-2025"
"Parth Electricals & Engineering Limited","SME","170","PARTH","04-AUG-2025","06-AUG-2025","RS.160 to RS.170","11-AUG-2025"
"Jyoti Global Plast Limited","SME","66","JYOTIGLOBL","04-AUG-2025","06-AUG-2025","RS.62 to RS.66","11-AUG-2025"
"Bhadora Industries Limited","SME","103","BHADORA","04-AUG-2025","06-AUG-2025","RS.97 to RS.103","11-AUG-2025"
"FlySBS Aviation Limited","SME","225","FLYSBS","01-AUG-2025","05-AUG-2025","RS.210 to RS.225","08-AUG-2025"
"Renol Polychem Limited","SME","105","RNPL","31-JUL-2025","04-AUG-2025","RS.100 to RS.105","07-AUG-2025"
"Cash Ur Drive Marketing Limited","SME","130","CUDML","31-JUL-2025","04-AUG-2025","RS.123 to RS.130","07-AUG-2025"
"National Securities Depository Limited","EQ","-","NSDL","30-JUL-2025","01-AUG-2025","Rs.760 to Rs.800","-"
"Sri Lotus Developers and Realty Limited","EQ","   150","LOTUSDEV","30-JUL-2025","01-AUG-2025","Rs.140 to Rs.150","06-AUG-2025"
"M&B Engineering Limited","EQ","   385","MBEL","30-JUL-2025","01-AUG-2025","Rs.366 to Rs.385","06-AUG-2025"
"Laxmi India Finance Limited","EQ","   158","LAXMIINDIA","29-JUL-2025","31-JUL-2025","Rs.150 to Rs.158","05-AUG-2025"
"Aditya Infotech Limited","EQ","   675","CPPLUS","29-JUL-2025","31-JUL-2025","Rs.640 to Rs.675","05-AUG-2025"
"Kaytex Fabrics Limited","SME","180","KAYTEX","29-JUL-2025","31-JUL-2025","RS.171 to RS.180","05-AUG-2025"
"Shanti Gold International Limited","EQ","   199","SHANTIGOLD","25-JUL-2025","29-JUL-2025","Rs.189 to Rs.199","01-AUG-2025"
"Sellowrap Industries Limited","SME","83","SELLOWRAP","25-JUL-2025","29-JUL-2025","RS.79 to RS.83","01-AUG-2025"
"Brigade Hotel Ventures Limited","EQ","    90","BRIGHOTEL","24-JUL-2025","28-JUL-2025","Rs.85 to Rs.90","31-JUL-2025"
"GNG Electronics Limited","EQ","   237","EBGNG","23-JUL-2025","25-JUL-2025","Rs.225 to Rs.237","30-JUL-2025"
"Indiqube Spaces Limited","EQ","   237","INDIQUBE","23-JUL-2025","25-JUL-2025","Rs.225 to Rs.237","30-JUL-2025"
"TSC India Limited","SME","70","TSC","23-JUL-2025","25-JUL-2025","RS.68 to RS.70","30-JUL-2025"
"Savy Infra and Logistics Limited","SME","120","SAVY","21-JUL-2025","23-JUL-2025","RS.114 to RS.120","28-JUL-2025"
"Sammaan Capital Limited","DEBT","######","SCL004","15-JUL-2025","28-JUL-2025","Rs.1000","20-JAN-2026"
"Sammaan Capital Limited","DEBT","######","SCL004","15-JUL-2025","28-JUL-2025","Rs.1000","20-JAN-2026"
"Anthem Biosciences Limited","EQ","   570","ANTHEM","14-JUL-2025","16-JUL-2025","Rs.540 to Rs.570","21-JUL-2025"
"Spunweb Nonwoven Limited","SME","96","SPUNWEB","14-JUL-2025","16-JUL-2025","RS.90 to RS.96","21-JUL-2025"
"Smartworks Coworking Spaces Limited","EQ","   407","SMARTWORKS","10-JUL-2025","14-JUL-2025","Rs.387 to Rs.407","17-JUL-2025"
"Adani Enterprises Limited","NI","  1000","AEL12126","09-JUL-2025","11-JUL-2025","Rs.1000","13-JAN-2026"
"Adani Enterprises Limited","NI","  1000","AEL12126","09-JUL-2025","11-JUL-2025","Rs.1000","13-JAN-2026"
"Travel Food Services Limited","EQ","  1100","TRAVELFOOD","07-JUL-2025","09-JUL-2025","Rs.1045 to Rs.1100","14-JUL-2025"
"Smarten Power Systems Limited","SME","100","SMARTEN","07-JUL-2025","09-JUL-2025","RS.100","14-JUL-2025"
"Happy Square Outsourcing Services Limited","SME","76","WHITEFORCE","03-JUL-2025","07-JUL-2025","RS.72 to RS.76","10-JUL-2025"
"CRIZAC LIMITED","EQ","   245","CRIZAC","02-JUL-2025","04-JUL-2025","Rs.233 to Rs.245","09-JUL-2025"
"Silky Overseas Limited","SME","161","SILKY","30-JUN-2025","02-JUL-2025","Rs.153 to RS.161","07-JUL-2025"
"Pushpa Jewellers Limited","SME","147","PUSHPA","30-JUN-2025","02-JUL-2025","Rs.143 to RS.147","07-JUL-2025"
"Cedaar Textile Limited","SME","140","CEDAAR","30-JUN-2025","02-JUL-2025","Rs.130 to RS.140","07-JUL-2025"
"Indogulf Cropsciences Limited","BE","   111","IGCL","26-JUN-2025","30-JUN-2025","Rs.105 to Rs.111","03-JUL-2025"
"Indogulf Cropsciences Limited","BE","   111","IGCL","26-JUN-2025","30-JUN-2025","Rs.105 to Rs.111","03-JUL-2025"
"PRO FX Tech Limited","SME","87","PROFX","26-JUN-2025","30-JUN-2025","Rs.82 to RS.87","03-JUL-2025"
"Moving Media Entertainment Limited","SME","70","MMEL","26-JUN-2025","30-JUN-2025","Rs.66 to RS.70","03-JUL-2025"
"Sambhv Steel Tubes Limited","EQ","    82","SAMBHV","25-JUN-2025","27-JUN-2025","Rs.77 to Rs.82","02-JUL-2025"
"HDB Financial Services Limited","EQ","   740","HDBFS","25-JUN-2025","27-JUN-2025","Rs.700 to Rs.740","02-JUL-2025"
"Rama Telecom Limited","SME","68","RTL","25-JUN-2025","27-JUN-2025","Rs.65 to RS.68","02-JUL-2025"
"Suntech Infra Solutions Limited","SME","86","SUNTECH","25-JUN-2025","27-JUN-2025","Rs.81 to RS. 86","02-JUL-2025"
"Ellenbarrie Industrial Gases Limited","EQ","   400","ELLEN","24-JUN-2025","26-JUN-2025","Rs.380 to Rs.400","01-JUL-2025"
"Kalpataru Limited","EQ","   414","KALPATARU","24-JUN-2025","26-JUN-2025","Rs.387 to Rs.414","01-JUL-2025"
"Globe Civil Projects Limited","BE","    71","GLOBECIVIL","24-JUN-2025","26-JUN-2025","Rs.67 to Rs.71","01-JUL-2025"
"Globe Civil Projects Limited","BE","    71","GLOBECIVIL","24-JUN-2025","26-JUN-2025","Rs.67 to Rs.71","01-JUL-2025"
"Shri Hare-Krishna Sponge Iron Limited","SME","59","SHKSIL","24-JUN-2025","26-JUN-2025","Rs.56 to RS. 59","01-JUL-2025"
"Mayasheel Ventures Limited","SME","47","MAYASHEEL","20-JUN-2025","24-JUN-2025","Rs.44 to RS. 47","27-JUN-2025"
"Aakaar Medical Technologies Limited","SME","72","AAKAAR","20-JUN-2025","24-JUN-2025","Rs.68 to RS. 72","27-JUN-2025"
"Safe Enterprises Retail Fixtures Limited","SME","138","SAFEENTP","20-JUN-2025","24-JUN-2025","Rs.131 to RS. 138","27-JUN-2025"
"Arisinfra Solutions Limited","EQ","   222","ARISINFRA","18-JUN-2025","20-JUN-2025","Rs.210 to Rs.222","25-JUN-2025"
"Influx Healthtech Limited","SME","96","INFLUX","18-JUN-2025","20-JUN-2025","Rs.91 to RS. 96","25-JUN-2025"
"Eppeltone Engineers Limited","SME","128","EEPL","17-JUN-2025","19-JUN-2025","Rs.125 to RS. 128","24-JUN-2025"
"Patil Automation Limited","SME","120","PATILAUTOM","16-JUN-2025","18-JUN-2025","Rs.114 to RS. 120","23-JUN-2025"
